Date,Q (ft3/s),  
8/15/1980,"3,500",  
8/16/1980,"3,800",  
8/17/1980,"3,900",  
8/18/1980,"4,200",  
8/19/1980,"4,300",  
8/20/1980,"4,000",  
8/21/1980,"4,200",  
8/22/1980,"4,500",  
8/23/1980,"4,800",  
8/24/1980,"4,800",  
8/25/1980,"4,300",  
8/26/1980,"3,800",  
8/27/1980,"3,300",  
8/28/1980,"3,200",  
8/29/1980,"3,900",  
8/30/1980,"4,600",  
8/31/1980,"4,800",  
9/1/1980,"4,600",  
9/2/1980,"3,900",  
9/3/1980,"3,400",  
9/4/1980,"3,300",  
9/5/1980,"4,600",  
9/6/1980,"8,300",  
9/7/1980,"9,800",  
9/8/1980,"10,000",  
9/9/1980,"9,200",  
9/10/1980,"8,200",  
9/11/1980,"7,700",  
9/12/1980,"7,000",  
9/13/1980,"6,400",  
9/14/1980,"6,500",  
9/15/1980,"6,100",  
9/16/1980,"5,300",  
9/17/1980,"4,900",  
9/18/1980,"4,600",  
9/19/1980,"4,200",  
9/20/1980,"4,200",  
9/21/1980,"4,600",  
9/22/1980,"4,600",  
9/23/1980,"4,200",  
9/24/1980,"3,400",  
9/25/1980,"3,400",  
9/26/1980,"3,500",  
9/27/1980,"3,300",  
9/28/1980,"3,200",  
9/29/1980,"3,100",  
9/30/1980,"3,400",  
10/1/1980,"4,900",  
10/2/1980,"11,000",  
10/3/1980,"21,000",  
10/4/1980,"29,000",  
10/5/1980,"30,000",  
10/6/1980,"26,000",  
10/7/1980,"22,000",  
10/8/1980,"19,000",  
10/9/1980,"16,000",  
10/10/1980,"14,000",  
10/11/1980,"12,000",  
10/12/1980,"11,000",  
10/13/1980,"10,000",  
10/14/1980,"9,400",  
10/15/1980,"8,600",  
10/16/1980,"7,800",  
10/17/1980,"7,300",  
10/18/1980,"6,700",  
10/19/1980,"5,800",  
10/20/1980,"5,600",  
10/21/1980,"5,900",  
10/22/1980,"6,400",  
10/23/1980,"7,600",  
10/24/1980,"9,100",  
10/25/1980,"10,000",  
10/26/1980,"11,000",  
10/27/1980,"11,000",  
10/28/1980,"11,000",  
10/29/1980,"10,000",  
10/30/1980,"11,000",  
10/31/1980,"11,000",  
11/1/1980,"11,000",  
11/2/1980,"12,000",  
11/3/1980,"15,000",  
11/4/1980,"15,000",  
11/5/1980,"14,000",  
11/6/1980,"12,000",  
11/7/1980,"10,000",  
11/8/1980,"8,200",  
11/9/1980,"6,700",  
11/10/1980,"5,700",  
11/11/1980,"4,900",  
